"id";"team_name"
5;"Akron Zips"
8;"Alabama Crimson Tide"
9;"UAB Blazers"
27;"Appalachian State Mountaineers"
28;"Arizona State Sun Devils"
29;"Arizona Wildcats"
30;"Arkansas State Red Wolves"
31;"Arkansas Razorbacks"
37;"Auburn Tigers"
47;"Ball State Cardinals"
51;"Baylor Bears"
66;"Boise State Broncos"
67;"Boston College Eagles"
71;"Bowling Green Falcons"
77;"BYU Cougars"
86;"Buffalo Bulls"
96;"Fresno State Bulldogs"
107;"California Golden Bears"
110;"UCLA Bruins"
128;"UCF Knights"
129;"Central Michigan Chippewas"
140;"Cincinnati Bearcats"
147;"Clemson Tigers"
156;"Colorado State Rams"
157;"Colorado Buffaloes"
164;"Connecticut Huskies"
193;"Duke Blue Devils"
196;"East Carolina Pirates"
204;"Eastern Michigan Eagles"
229;"Florida Atlantic Owls"
231;"Florida International Golden Panthers"
234;"Florida State Seminoles"
235;"Florida Gators"
253;"Georgia Southern Eagles"
254;"Georgia State Panthers"
255;"Georgia Tech Yellow Jackets"
257;"Georgia Bulldogs"
277;"Hawai'i Warriors"
288;"Houston Cougars"
295;"Idaho Vandals"
301;"Illinois Fighting Illini"
306;"Indiana Hoosiers"
311;"Iowa State Cyclones"
312;"Iowa Hawkeyes"
327;"Kansas State Wildcats"
328;"Kansas Jayhawks"
331;"Kent State Golden Flashes"
334;"Kentucky Wildcats"
365;"LSU Tigers"
366;"Louisiana Tech Bulldogs"
367;"Louisville Cardinals"
388;"Marshall Thundering Herd"
392;"Maryland Terrapins"
400;"Massachusetts Minutemen"
404;"Memphis Tigers"
414;"Miami (Ohio) RedHawks"
415;"Miami (Florida) Hurricanes"
416;"Michigan State Spartans"
418;"Michigan Wolverines"
419;"Middle Tennessee Blue Raiders"
428;"Minnesota Golden Gophers"
430;"Mississippi State Bulldogs"
433;"Mississippi Rebels"
434;"Missouri Tigers"
457;"North Carolina Tar Heels"
463;"Nebraska Cornhuskers"
465;"UNLV Rebels"
466;"Nevada Wolf Pack"
472;"New Mexico State Aggies"
473;"New Mexico Lobos"
490;"North Carolina State Wolfpack"
497;"North Texas Mean Green"
498;"Louisiana-Monroe Warhawks"
503;"Northern Illinois Huskies"
509;"Northwestern Wildcats"
513;"Notre Dame Fighting Irish"
518;"Ohio State Buckeyes"
519;"Ohio Bobcats"
521;"Oklahoma State Cowboys"
522;"Oklahoma Sooners"
523;"Old Dominion Monarchs"
528;"Oregon State Beavers"
529;"Oregon Ducks"
539;"Penn State Nittany Lions"
545;"Pittsburgh Panthers"
559;"Purdue Boilermakers"
574;"Rice Owls"
587;"Rutgers Scarlet Knights"
626;"San Diego State Aztecs"
630;"San Jose State Spartans"
646;"South Alabama Jaguars"
648;"South Carolina Gamecocks"
651;"South Florida Bulls"
657;"USC Trojans"
663;"SMU Mustangs"
664;"Southern Mississippi Golden Eagles"
670;"Texas State Bobcats"
671;"Louisiana-Lafayette Ragin' Cajuns"
674;"Stanford Cardinal"
688;"Syracuse Orange"
690;"Temple Owls"
694;"Tennessee Volunteers"
697;"Texas A&M Aggies"
698;"TCU Horned Frogs"
700;"Texas Tech Red Raiders"
703;"Texas Longhorns"
704;"UTEP Miners"
706;"UTSA Roadrunners"
709;"Toledo Rockets"
716;"Troy Trojans"
718;"Tulane Green Wave"
719;"Tulsa Golden Hurricane"
721;"Air Force Falcons"
725;"Army Black Knights"
726;"Navy Midshipmen"
731;"Utah State Aggies"
732;"Utah Utes"
736;"Vanderbilt Commodores"
742;"Virginia Tech Hokies"
746;"Virginia Cavaliers"
749;"Wake Forest Demon Deacons"
754;"Washington State Cougars"
756;"Washington Huskies"
768;"West Virginia Mountaineers"
772;"Western Kentucky Hilltoppers"
774;"Western Michigan Broncos"
796;"Wisconsin Badgers"
811;"Wyoming Cowboys"
